recorte,flow,year,coNcm,ncm,metricFOB,metricKG,metricStatistic
BR,import,2022,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",7220847,130000,1
BR,import,2022,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",6695093,290096,3760
BR,import,2022,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",3154819,128812,10
BR,import,2022,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",1227975,23286,5
BR,import,2022,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",826076,20546,12
BR,import,2022,89039100,"Barcos a vela, mesmo com motor auxiliar",799274,37004,7
BR,import,2022,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",291426,28999,3264
BR,import,2022,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",197565,25287,2653
BR,import,2022,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",177686,5945,881
BR,import,2022,89031000,Barcos infláveis,110930,15684,1843
BR,import,2022,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",49140,12269,3463
BR,import,2021,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",49865508,2628220,8752
BR,import,2021,89039200,"Barcos a motor, exceto com motor fora-de-borda",22807185,394943,26
BR,import,2021,89031000,Barcos infláveis,1746425,156222,20063
BR,import,2021,89039100,"Barcos a vela, mesmo com motor auxiliar",1267444,32514,16
BR,import,2020,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",28456447,1514141,5255
BR,import,2020,89039200,"Barcos a motor, exceto com motor fora-de-borda",2306930,50085,9
BR,import,2020,89039100,"Barcos a vela, mesmo com motor auxiliar",1738720,43951,107
BR,import,2020,89031000,Barcos infláveis,335514,47136,8448
BR,import,2019,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",45637194,2188565,7082
BR,import,2019,89039200,"Barcos a motor, exceto com motor fora-de-borda",2531574,85800,41
BR,import,2019,89039100,"Barcos a vela, mesmo com motor auxiliar",757491,36176,40
BR,import,2019,89031000,Barcos infláveis,730440,103025,18884
BR,import,2018,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",33523588,1687720,5547
BR,import,2018,89039200,"Barcos a motor, exceto com motor fora-de-borda",6653253,156261,55
BR,import,2018,89039100,"Barcos a vela, mesmo com motor auxiliar",6430532,144175,56
BR,import,2018,89031000,Barcos infláveis,1047258,159855,20079
BR,import,2017,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",27756358,1345278,4756
BR,import,2017,89039200,"Barcos a motor, exceto com motor fora-de-borda",6081743,142869,31
BR,import,2017,89039100,"Barcos a vela, mesmo com motor auxiliar",3755164,134294,121
BR,import,2017,89031000,Barcos infláveis,619384,134677,17160
BR,import,2016,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",12839970,587594,2258
BR,import,2016,89039200,"Barcos a motor, exceto com motor fora-de-borda",5310734,157771,22
BR,import,2016,89039100,"Barcos a vela, mesmo com motor auxiliar",1035483,41867,104
BR,import,2016,89031000,Barcos infláveis,645336,82953,28743
BR,import,2015,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",18867705,1090398,3987
BR,import,2015,89039200,"Barcos a motor, exceto com motor fora-de-borda",18636162,524156,85
BR,import,2015,89039100,"Barcos a vela, mesmo com motor auxiliar",5096347,212445,90
BR,import,2015,89031000,Barcos infláveis,1793769,215083,31054
BR,import,2014,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",42813025,1926873,6939
BR,import,2014,89039200,"Barcos a motor, exceto com motor fora-de-borda",42516975,937963,140
BR,import,2014,89039100,"Barcos a vela, mesmo com motor auxiliar",11560877,334330,97
BR,import,2014,89031000,Barcos infláveis,1952846,241118,49436
BR,import,2013,89039200,"Barcos a motor, exceto com motor fora-de-borda",64449780,1701447,219
BR,import,2013,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",54130899,2215401,7132
BR,import,2013,89039100,"Barcos a vela, mesmo com motor auxiliar",13456163,574976,195
BR,import,2013,89031000,Barcos infláveis,3418036,258795,53852
BR,import,2012,89039200,"Barcos a motor, exceto com motor fora-de-borda",82988375,2248122,56436
BR,import,2012,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",68474794,2813386,9480
BR,import,2012,89039100,"Barcos a vela, mesmo com motor auxiliar",11527269,465504,102
BR,import,2012,89031000,Barcos infláveis,1733216,220130,48849
BR,import,2011,89039200,"Barcos a motor, exceto com motor fora-de-borda",150806644,3494132,460
BR,import,2011,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",69004891,2801237,11413
BR,import,2011,89039100,"Barcos a vela, mesmo com motor auxiliar",10827829,470893,1798
BR,import,2011,89031000,Barcos infláveis,1877103,362238,89078
BR,import,2010,89039200,"Barcos a motor, exceto com motor fora-de-borda",85109466,2080826,7795
BR,import,2010,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",42243941,1868952,6265
BR,import,2010,89039100,"Barcos a vela, mesmo com motor auxiliar",5949085,257185,108
BR,import,2010,89031000,Barcos infláveis,2047264,344014,201064
SC,export,2026,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",10519972,187167,41
SC,export,2026,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",9562406,169286,20
SC,export,2026,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",384524,16411,17
SC,export,2026,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",311789,14808,13
SC,export,2025,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",21453743,403561,34
SC,export,2025,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",15545074,289200,40
SC,export,2025,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",443396,20521,23
SC,export,2025,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",138552,6567,9
SC,export,2024,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",27347437,515440,43
SC,export,2024,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",16352849,348756,50
SC,export,2024,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",5407037,92960,1
SC,export,2024,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",680915,33234,34
SC,export,2024,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",185838,6743,4
SC,export,2024,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",5878,112,1
SC,export,2023,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",31917294,649014,43
SC,export,2023,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",16122157,363170,52
SC,export,2023,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",5344304,92960,1
SC,export,2023,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",691455,36310,37
SC,export,2023,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",412255,13550,8
SC,export,2023,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",3950,44,2
SC,export,2022,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",22730176,509692,39
SC,export,2022,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",15149137,382743,85
SC,export,2022,89039200,"Barcos a motor, exceto com motor fora-de-borda",11392471,262800,19
SC,export,2022,89032300,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 24 m",2203274,64480,1
SC,export,2022,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",700925,28200,18
SC,export,2022,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",679831,36855,38
SC,export,2021,89039200,"Barcos a motor, exceto com motor fora-de-borda",15119957,375729,38
SC,export,2021,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",9686039,286042,76
SC,export,2021,89031000,Barcos infláveis,82421,2455,21
SC,export,2021,89039100,"Barcos a vela, mesmo com motor auxiliar",4386,128,1
SC,export,2020,89039200,"Barcos a motor, exceto com motor fora-de-borda",6055647,171647,18
SC,export,2020,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",4078327,110659,38
SC,export,2020,89031000,Barcos infláveis,35158,494,22
