flow,year,monthNumber,state,uf,metricFOB,metricKG,metricStatistic
import,2025,12,Pernambuco,PE,5000,874,
import,2025,07,Rio Grande do Sul,RS,2815,67,
import,2025,02,Minas Gerais,MG,2417,896,
import,2025,12,Rondônia,RO,1882,724,
import,2025,11,Rio de Janeiro,RJ,1674,230,
import,2025,04,São Paulo,SP,1280,161,
import,2025,07,Ceará,CE,924,330,
import,2025,07,Paraná,PR,802,24,
import,2025,08,São Paulo,SP,698,110,
import,2025,06,Espírito Santo,ES,558,39,
import,2025,03,Rio de Janeiro,RJ,108,17,
import,2025,05,Paraná,PR,51,53,
import,2026,01,Santa Catarina,SC,17695983,747163,
import,2026,04,Santa Catarina,SC,14110391,597646,
import,2026,06,Santa Catarina,SC,12268138,514291,
import,2026,07,Santa Catarina,SC,10223213,438821,
import,2026,03,Santa Catarina,SC,6849336,282666,
import,2026,03,Amapá,AP,5500000,102,
import,2026,05,Santa Catarina,SC,4921257,190600,
import,2026,02,Santa Catarina,SC,4657326,211147,
import,2026,02,Amapá,AP,2758089,52773,
import,2026,08,Santa Catarina,SC,2217678,76483,
import,2026,02,Bahia,BA,1574941,26680,
import,2026,08,Bahia,BA,1261983,18175,
import,2026,01,Amapá,AP,1114741,20965,
import,2026,07,Paraná,PR,1108423,25614,
import,2026,01,Bahia,BA,798947,13090,
import,2026,07,Amazonas,AM,568357,7800,
import,2026,06,Amazonas,AM,474786,8205,
import,2026,07,Minas Gerais,MG,385182,14048,
import,2026,04,Amapá,AP,301898,4608,
import,2026,04,Amazonas,AM,282681,4772,
import,2026,04,Minas Gerais,MG,241856,9613,
import,2026,03,Rio de Janeiro,RJ,219068,1474,
import,2026,06,Paraíba,PB,212650,4572,
import,2026,03,Paraíba,PB,206494,4572,
import,2026,06,Rio de Janeiro,RJ,197462,1642,
import,2026,04,Paraná,PR,190882,4309,
import,2026,05,Minas Gerais,MG,158818,4692,
import,2026,08,Paraná,PR,152273,2817,
import,2026,06,Amapá,AP,117553,2588,
import,2026,04,São Paulo,SP,91661,1585,
import,2026,06,São Paulo,SP,87662,16165,
import,2026,05,São Paulo,SP,86403,1485,
import,2026,03,Minas Gerais,MG,74939,15958,
import,2026,07,Rio de Janeiro,RJ,74835,2588,
import,2026,03,Alagoas,AL,63800,1484,
