flow,year,monthNumber,municipio,uf,metricFOB,metricKG
export,2026,02,Itajaí,SC,81276,3800
export,2026,08,Biguaçu,SC,72150,2100
export,2026,06,Itajaí,SC,68305,2954
export,2026,07,Manaus,AM,52907,4718
export,2026,01,Foz do Iguaçu,PR,49057,1900
export,2026,08,Taboão da Serra,SP,42960,3537
export,2026,03,Franca,SP,37212,1786
export,2026,05,Paulínia,SP,34262,1640
export,2026,02,Manaus,AM,34145,700
export,2026,08,Manaus,AM,30246,2740
export,2026,06,Manaus,AM,25995,2090
export,2026,01,Taboão da Serra,SP,18455,2060
export,2026,01,Manaus,AM,16783,1857
export,2026,02,Santo Antônio de Pádua,RJ,15350,759
export,2026,03,Manaus,AM,12933,1150
export,2026,05,Manaus,AM,12353,1140
export,2026,05,Macapá,AP,11666,1190
export,2026,04,Manaus,AM,10753,1090
export,2026,08,Rio de Janeiro,RJ,10541,114
export,2026,02,Pompéia,SP,9977,524
export,2026,07,Porto Velho,RO,9451,1050
export,2026,05,Porto Velho,RO,7601,450
export,2026,05,Corumbá,MS,6276,180
export,2026,03,Boa Vista,RR,6201,480
export,2026,03,Taboão da Serra,SP,6165,525
export,2026,08,Porto Velho,RO,5082,300
export,2026,06,Pompéia,SP,3871,144
export,2026,02,Macapá,AP,3849,900
export,2026,03,Macapá,AP,3335,810
export,2026,04,Foz do Iguaçu,PR,3197,420
export,2026,07,Boa Vista,RR,2894,150
export,2026,04,Guaíra,PR,2003,300
export,2026,05,Foz do Iguaçu,PR,1907,608
export,2026,07,São Vicente,SP,1266,42
export,2026,08,Alvorada do Sul,PR,1225,288
export,2026,07,Foz do Iguaçu,PR,1180,56
export,2026,02,Curitiba,PR,879,37
export,2026,01,São Paulo,SP,862,8
export,2026,03,Foz do Iguaçu,PR,580,33
export,2026,03,São Paulo,SP,550,5
export,2026,05,São Francisco do Sul,SC,341,2
export,2026,05,São Paulo,SP,302,2
export,2026,06,São Francisco do Sul,SC,84,3
export,2026,08,São Francisco do Sul,SC,7,0
