cnpj,razao_social,nome_fantasia,porte,mei,data_inicio,cnae_principal,cnae_principal_nome,municipio,bairro,cep
00832390000166,QUADRANTE EMPREENDIMENTOS IMOBILIARIOS & NAUTICOS LTDA,RESTAURANTE & MARINA PIER 33,Empresa de pequeno porte,N,19950929,4731800,Comércio varejista de combustíveis para veículos automotores,BIGUACU,CENTRO,88160194
10790020001309,WILLIAMS SERVICOS MARITIMOS LTDA,,Demais,,19890629,5239799,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,IMBITUBA,CENTRO,88780000
05843472000120,SOLUCOES INTELIGENTES OPERADORES PORTUARIOS LTDA,,Demais,,20030820,5231102,Atividades do Operador Portuário,SAO FRANCISCO DO SUL,ROCIO GRANDE,89331183
04261769000114,CALNAVE LTDA,CALNAVE,Microempresa,N,20010124,3011301,Construção de embarcações de grande porte,ITAJAI,CORDEIROS,88310550
05942640000134,GS PRIME COMERCIO IMPORTACAO E EXPORTACAO LTDA,GS PRIME COM IMP EXP,Microempresa,N,20031016,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,SAO BENTO DO SUL,OXFORD,89285693
04292038000136,ENGITA CONSTRUCOES LTDA,,Empresa de pequeno porte,,20010216,3011301,Construção de embarcações de grande porte,NAVEGANTES,SAO DOMINGOS,88370700
05966945000186,ASSOCIACAO FRANCISCQUENSE DE CAPOEIRA,,Demais,,20030725,9319199,Outras atividades esportivas não especificadas anteriormente,SAO FRANCISCO DO SUL,ROCIO PEQUENO,89240000
07724985000147,"ASSOCIACAO SOMBRA DE ESPORTES CULTURA, TURISMO LAZER EDUCACIONAL",SOMBRA,Demais,,20050705,9319199,Outras atividades esportivas não especificadas anteriormente,SAO JOSE,REAL PARQUE,88113480
04437768000188,SAFIRA COMERCIO E TRANSPORTES LTDA,SAFIRA,Empresa de pequeno porte,N,20010426,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",PAPANDUVA,SAO CRISTOVAO,89370000
06115194000157,M 13 INDUSTRIA DE PESCADOS LTDA EM RECUPERACAO JUDICIAL,,Microempresa,N,20040219,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",PENHA,CENTRO,88385000
01083785000176,DALBERIONE CIRICO,KATOOMBA,Empresa de pequeno porte,N,19960229,1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",SOMBRIO,GUARITA,88960000
02724179000155,ASSOCIACAO RECREATIVA MONTALUMI ESPORTE CLUBE - ARMEC,,Demais,,19980831,9319101,Produção e promoção de eventos esportivos,ITAPEMA,TABOLEIRO,88220000
01098082000111,ANTI-DOPPE TEXTIL LTDA,ANTI-DOPPE,Empresa de pequeno porte,,19960201,1330800,Fabricação de tecidos de malha,GUARAMIRIM,CORTICEIRA,89274230
06158127000110,ACADEMIA IMPACTO LTDA,ACADEMIA IMPACTO,Microempresa,N,20040324,9313100,Atividades de condicionamento físico,CACADOR,CENTRO,89500232
02754256000110,AUGUSTINHO HABLE & CIA LTDA,RECANTO PADRE FRANCISCO HABLE,Microempresa,N,19980916,5611203,"Lanchonetes, casas de chá, de sucos e similares",MAFRA,SAO LOURENCO,89300001
07720938000125,ASSOCIACAO DESPORTIVA LANCE LIVRE,ADLL,Demais,,20051201,9319199,Outras atividades esportivas não especificadas anteriormente,LAGES,CENTRO,88502001
06243676000192,BORINI &CIA LTDA,BORINI MATERIAIS ELETRICOS,Empresa de pequeno porte,N,20040430,4744099,Comércio varejista de materiais de construção em geral,IRINEOPOLIS,CENTRO,89440000
06339575000110,NAVEBRAS INDUSTRIA E COMERCIO DE PESCADOS LTDA,,Empresa de pequeno porte,,20040629,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",NAVEGANTES,MACHADOS,88371600
75322149000196,SOCIEDADE ESPORTIVA E RECREATIVA SINCOL,SERSI,Demais,,19820813,9319199,Outras atividades esportivas não especificadas anteriormente,CACADOR,SORGATTO,89503350
75323584000135,ASSOCIACAO DO PESSOAL DA CAIXA ECONOMICA FEDERAL DE LAGES,APCEF,Demais,,19811007,9329899,Outras atividades de recreação e lazer não especificadas anteriormente,LAGES,PENHA,88504140
75409284000173,INDUSTRIA DE MOVEIS CALZA LTDA,,Microempresa,N,19810119,3101200,Fabricação de móveis com predominância de madeira,XANXERE,MARIA WINCKLER,89820000
