ano,uf,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2025,BA,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,3,7,78479
2025,BA,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,1,1,695
2025,BA,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,7,16,40
2025,BA,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,22,603,417
2025,BA,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,49
2025,BA,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,1,14,352
2025,BA,0321399,Cultivos e semicultivos da aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,3
2025,BA,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,9,79,21
2025,BA,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,14,662,32
2025,BA,3011301,Construção de embarcações de grande porte,Indústria naval,6,761,10
2025,BA,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,4,187,8
2025,BA,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,3,8,7
2025,BA,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,7,70,20
2025,BA,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,16,195,38
2025,BA,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,14,35,32
2025,BA,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,1,4,8
2025,BA,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,19,46,44
2025,BA,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,4,15,9
2025,BA,5030101,Navegação de apoio marítimo,Portos e navegação,5,59,14
2025,BA,5030102,Navegação de apoio portuário,Portos e navegação,12,219,21
2025,BA,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,20,65,59
2025,BA,5231101,Administração da infraestrutura portuária,Portos e navegação,12,1286,15
2025,BA,5231102,Atividades do operador portuário,Portos e navegação,16,845,28
2025,BA,5232000,Atividades de agenciamento marítimo,Portos e navegação,36,609,53
2025,BA,5239701,Serviços de praticagem,Portos e navegação,6,63,7
2025,BA,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,7,229,12
2025,BA,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,3,27,7
2025,BA,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,50,238,135
2025,BA,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,24,124,204
2025,CE,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,3,15,754
2025,CE,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,7,295,8273
2025,CE,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,2,47,125
2025,CE,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,8,54,28
2025,CE,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,250,2759,539
