validar (S/N),nome conhecido?,razao_social,nomes fantasia,municipio (matriz),todos os municipios,porte,desde,cnaes principais,cnpj,observacao
,,CHILIBOATS INDUSTRIA E COMERCIO DE EMBARCACOES LTDA,CHILIBOATS,Navegantes,Navegantes,Empresa de pequeno porte,2012,3012100,16908107000172,
,,COELHO SANTOS CONSTRUCAO E REPAROS NAVAIS LTDA,ESTALEIRO DOM OSVALDO,Navegantes,Navegantes,Microempresa,2023,3011301,50626502000109,
,,EDE CASTRO,MHC ESTALEIRO NAVAL,Navegantes,Navegantes,Empresa de pequeno porte,1984,3011301,78525672000108,
,,ENGITA CONSTRUCOES LTDA,,Navegantes,Navegantes,Empresa de pequeno porte,2001,3011301,04292038000136,
,,ESTALEIRO D LEON LTDA,,Navegantes,Navegantes,Microempresa,1985,3011302,78866878000100,
,,ESTALEIRO DOM OSVALDO LTDA,,Navegantes,Navegantes,Microempresa,1980,3011301,75378950000153,
,,ESTALEIRO NAVSHIP LTDA,,Navegantes,Navegantes,Demais,2005,3011301,07171021000119,
,,ESTALEIRO VITORIA LTDA,ESTALEIRO VITORIA,Navegantes,Navegantes,Demais,2025,3011302,62338184000151,
,,INC - INDUSTRIA NAVAL CATARINENSE LTDA,INC - INDUSTRIA NAVAL CATARINENSE,Navegantes,Navegantes,Demais,2018,3011302,29775703000173,
,,MACSUL SERVICOS LTDA,MACSUL SERVICOS,Navegantes,Navegantes,Empresa de pequeno porte,2022,3011302,48778600000101,
,,PJ INDUSTRIA NAVAL LTDA,,Navegantes,Navegantes,Empresa de pequeno porte,2003,3011302,05636503000171,
,,ALEXANDRE MEINECKE,NEO MARINE,Palhoca,Palhoca,Microempresa,2013,3011302,18226772000101,
,,C & J YACHTS - SERVICOS E COMERCIO DE MONTAGEM DE EMBARCACOES NAUTICAS LTDA.,SP PRODUCOES,Palhoca,Palhoca,Microempresa,2004,3012100,06265662000170,
,,RICHARD CESAR GOEDERT,ONIX YACHTS / RICHARD CESAR GOEDERT,Palhoca,"Palhoca, Santo Amaro Da Imperatriz",Microempresa,2009,3012100 8211300,10792549000110,
,,BLACK MARINE EMBARCACOES E EQUIPAMENTOS NAUTICOS LTDA,BLACK MARINE,Penha,Penha,Empresa de pequeno porte,2018,3011302,31412230000191,
,,TMG INTERNATIONAL LTDA,,Rio Negrinho,Rio Negrinho,Demais,2026,3012100,53382794000323,
,,CMO CONSTRUCAO E MONTAGEM OFFSHORE S.A.,,Sao Francisco Do Sul,Sao Francisco Do Sul,Demais,2014,3011301,13877424000342,
,,LF YACHTS FABRICACAO LTDA,LF YACHTS,Sao Francisco Do Sul,Sao Francisco Do Sul,Microempresa,2019,3012100,32700417000153,
,,AQUA BOATS LTDA,,Sao Jose,Sao Jose,Microempresa,2025,3012100,64067761000143,
,,POWER NAUTICA REVERSORES COMERCIO E SERVICOS LTDA,MMW REVERSORES,Sao Jose,Sao Jose,Empresa de pequeno porte,2014,3012100,21212831000105,
,,ATLANTIK OZEAN YACHT DO BRASIL LTDA,ATLANTIK OZEAN YACHT,Tijucas,Tijucas,Demais,2023,3011302,50692412000108,
,,CANADIAN DESIGN DO BRASIL LTDA,CANADIAN KANGAROO,Tijucas,Tijucas,Demais,2023,3011302,50314342000154,
,,TERCIO LUIZ DUARTE DA SILVA EQUIPAMENTOS,YAMADEPOT EQUIPAMENTOS,Tijucas,Tijucas,Empresa de pequeno porte,2020,3012100,37157528000189,
